curr_step order_id origin destination truck_id volume
45 12 1 4 1 6
45 16 1 4 1 9
45 27 1 4 1 13
62 0 1 3 0 8
62 1 1 3 0 20
62 14 1 3 0 4
95 2 4 2 1 3
95 4 4 2 1 3
95 11 4 2 1 2
95 32 4 2 1 2
95 40 4 2 1 19
104 8 3 2 0 7
104 28 3 2 0 12
104 30 3 2 0 11
120 3 2 1 1 1
120 37 2 1 1 13
120 45 2 1 1 11
120 46 2 1 1 2
147 15 2 3 0 15
147 18 2 3 0 5
147 39 2 3 0 7
147 41 2 3 0 2
182 6 1 3 1 18
182 10 1 3 1 5
211 21 3 4 0 16
246 33 3 1 1 8
246 36 3 1 1 14
254 5 4 1 0 20
254 31 4 1 0 3
279 13 1 2 0 5
279 17 1 2 0 9
279 25 1 2 0 14
307 7 1 3 1 16
307 34 1 3 1 10
330 23 2 4 0 17
349 42 3 2 1 16
349 49 3 2 1 13
373 9 4 1 0 17
400 38 2 4 1 17
415 22 1 4 0 20
45 12 1 4 1 6
45 16 1 4 1 9
45 27 1 4 1 13
62 0 1 3 0 8
62 1 1 3 0 20
62 14 1 3 0 4
95 2 4 2 1 3
95 4 4 2 1 3
95 11 4 2 1 2
95 32 4 2 1 2
95 40 4 2 1 19
104 8 3 2 0 7
104 28 3 2 0 12
104 30 3 2 0 11
120 3 2 1 1 1
120 37 2 1 1 13
120 45 2 1 1 11
120 46 2 1 1 2
147 15 2 3 0 15
147 18 2 3 0 5
147 39 2 3 0 7
147 41 2 3 0 2
182 6 1 3 1 18
182 10 1 3 1 5
211 21 3 4 0 16
246 33 3 1 1 8
246 36 3 1 1 14
254 5 4 1 0 20
254 31 4 1 0 3
279 13 1 2 0 5
279 17 1 2 0 9
279 25 1 2 0 14
307 7 1 3 1 16
307 34 1 3 1 10
330 23 2 4 0 17
349 42 3 2 1 16
349 49 3 2 1 13
373 9 4 1 0 17
400 38 2 4 1 17
415 22 1 4 0 20
443 19 4 1 1 19
468 29 1 2 1 19
468 47 1 2 1 7
477 20 4 3 0 16
477 24 4 3 0 9
477 43 4 3 0 5
493 44 2 1 1 20
538 48 1 4 1 13
582 26 4 1 1 17
625 35 4 1 0 19
